Vivado Simulator 2018.3
Time resolution is 1 ps
At time                  244, a = 1110111001001000, b = 1110111001001000, cin = 0, s = 1101110010010000, cout = 1
At time                  246, a = 1111001000110000, b = 1110111001001000, cin = 0, s = 1110000001111000, cout = 1
At time                  248, a = 1111001000110000, b = 1111001000110000, cin = 0, s = 1110010001100000, cout = 1
At time                  250, a = 1111011000011000, b = 1111001000110000, cin = 0, s = 1110100001001000, cout = 1
At time                  252, a = 1111011000011000, b = 1111011000011000, cin = 0, s = 1110110000110000, cout = 1
At time                  254, a = 1111101000000000, b = 1111011000011000, cin = 0, s = 1111000000011000, cout = 1
At time                  256, a = 1111101000000000, b = 1111101000000000, cin = 0, s = 1111010000000000, cout = 1
At time                  258, a = 1111110111101000, b = 1111101000000000, cin = 0, s = 1111011111101000, cout = 1
At time                  260, a = 1111110111101000, b = 1111110111101000, cin = 0, s = 1111101111010000, cout = 1
At time                  262, a = 0000000111010000, b = 1111110111101000, cin = 0, s = 1111111110111000, cout = 0
At time                  264, a = 0000000111010000, b = 0000000111010000, cin = 0, s = 0000001110100000, cout = 0
At time                  266, a = 0000010110111000, b = 0000000111010000, cin = 0, s = 0000011110001000, cout = 0
At time                  268, a = 0000010110111000, b = 0000010110111000, cin = 0, s = 0000101101110000, cout = 0
At time                  270, a = 0000100110100000, b = 0000010110111000, cin = 0, s = 0000111101011000, cout = 0
At time                  272, a = 0000100110100000, b = 0000100110100000, cin = 0, s = 0001001101000000, cout = 0
At time                  274, a = 0000110110001000, b = 0000100110100000, cin = 0, s = 0001011100101000, cout = 0
At time                  276, a = 0000110110001000, b = 0000110110001000, cin = 0, s = 0001101100010000, cout = 0
At time                  278, a = 0001000101110000, b = 0000110110001000, cin = 0, s = 0001111011111000, cout = 0
At time                  280, a = 0001000101110000, b = 0001000101110000, cin = 0, s = 0010001011100000, cout = 0
At time                  282, a = 0001010101011000, b = 0001000101110000, cin = 0, s = 0010011011001000, cout = 0
At time                  284, a = 0001010101011000, b = 0001010101011000, cin = 0, s = 0010101010110000, cout = 0
At time                  286, a = 0001100101000000, b = 0001010101011000, cin = 0, s = 0010111010011000, cout = 0
At time                  288, a = 0001100101000000, b = 0001100101000000, cin = 0, s = 0011001010000000, cout = 0
At time                  290, a = 0001110100101000, b = 0001100101000000, cin = 0, s = 0011011001101000, cout = 0
At time                  292, a = 0001110100101000, b = 0001110100101000, cin = 0, s = 0011101001010000, cout = 0
At time                  294, a = 0010000100010000, b = 0001110100101000, cin = 0, s = 0011111000111000, cout = 0
At time                  296, a = 0010000100010000, b = 0010000100010000, cin = 0, s = 0100001000100000, cout = 0
At time                  298, a = 0010010011111000, b = 0010000100010000, cin = 0, s = 0100011000001000, cout = 0
At time                  300, a = 0010010011111000, b = 0010010011111000, cin = 0, s = 0100100111110000, cout = 0
At time                  302, a = 0010100011100000, b = 0010010011111000, cin = 0, s = 0100110111011000, cout = 0
At time                  304, a = 0010100011100000, b = 0010100011100000, cin = 0, s = 0101000111000000, cout = 0
At time                  306, a = 0010110011001000, b = 0010100011100000, cin = 0, s = 0101010110101000, cout = 0
At time                  308, a = 0010110011001000, b = 0010110011001000, cin = 0, s = 0101100110010000, cout = 0
At time                  310, a = 0011000010110000, b = 0010110011001000, cin = 0, s = 0101110101111000, cout = 0
At time                  312, a = 0011000010110000, b = 0011000010110000, cin = 0, s = 0110000101100000, cout = 0
At time                  314, a = 0011010010011000, b = 0011000010110000, cin = 0, s = 0110010101001000, cout = 0
At time                  316, a = 0011010010011000, b = 0011010010011000, cin = 0, s = 0110100100110000, cout = 0
At time                  318, a = 0011100010000000, b = 0011010010011000, cin = 0, s = 0110110100011000, cout = 0
At time                  320, a = 0011100010000000, b = 0011100010000000, cin = 0, s = 0111000100000000, cout = 0
At time                  322, a = 0011110001101000, b = 0011100010000000, cin = 0, s = 0111010011101000, cout = 0
At time                  324, a = 0011110001101000, b = 0011110001101000, cin = 0, s = 0111100011010000, cout = 0
At time                  326, a = 0100000001010000, b = 0011110001101000, cin = 0, s = 0111110010111000, cout = 0
At time                  328, a = 0100000001010000, b = 0100000001010000, cin = 0, s = 1000000010100000, cout = 0
At time                  330, a = 0100010000111000, b = 0100000001010000, cin = 0, s = 1000010010001000, cout = 0
At time                  332, a = 0100010000111000, b = 0100010000111000, cin = 0, s = 1000100001110000, cout = 0
At time                  334, a = 0100100000100000, b = 0100010000111000, cin = 0, s = 1000110001011000, cout = 0
At time                  336, a = 0100100000100000, b = 0100100000100000, cin = 0, s = 1001000001000000, cout = 0
At time                  338, a = 0100110000001000, b = 0100100000100000, cin = 0, s = 1001010000101000, cout = 0
At time                  340, a = 0100110000001000, b = 0100110000001000, cin = 0, s = 1001100000010000, cout = 0
At time                  342, a = 0100111111110000, b = 0100110000001000, cin = 0, s = 1001101111111000, cout = 0
At time                  344, a = 0100111111110000, b = 0100111111110000, cin = 0, s = 1001111111100000, cout = 0
At time                  346, a = 0101001111011000, b = 0100111111110000, cin = 0, s = 1010001111001000, cout = 0
At time                  348, a = 0101001111011000, b = 0101001111011000, cin = 0, s = 1010011110110000, cout = 0
At time                  350, a = 0101011111000000, b = 0101001111011000, cin = 0, s = 1010101110011000, cout = 0
At time                  352, a = 0101011111000000, b = 0101011111000000, cin = 0, s = 1010111110000000, cout = 0
At time                  354, a = 0101101110101000, b = 0101011111000000, cin = 0, s = 1011001101101000, cout = 0
At time                  356, a = 0101101110101000, b = 0101101110101000, cin = 0, s = 1011011101010000, cout = 0
At time                  358, a = 0101111110010000, b = 0101101110101000, cin = 0, s = 1011101100111000, cout = 0
At time                  360, a = 0101111110010000, b = 0101111110010000, cin = 0, s = 1011111100100000, cout = 0
At time                  362, a = 0110001101111000, b = 0101111110010000, cin = 0, s = 1100001100001000, cout = 0
At time                  364, a = 0110001101111000, b = 0110001101111000, cin = 0, s = 1100011011110000, cout = 0
At time                  366, a = 0110011101100000, b = 0110001101111000, cin = 0, s = 1100101011011000, cout = 0
At time                  368, a = 0110011101100000, b = 0110011101100000, cin = 0, s = 1100111011000000, cout = 0
